Date,Open,High,Low,Close,Adj Close,Volume,Industry
2/6/2017,129.130005,130.5,128.899994,130.289993,127.216721,26845900,IT
2/7/2017,130.539993,132.089996,130.449997,131.529999,128.427475,38183800,IT
2/8/2017,131.350006,132.220001,131.220001,132.039993,128.925446,23004100,IT
2/9/2017,131.649994,132.449997,131.119995,132.419998,129.857056,28349900,IT
2/10/2017,132.460007,132.940002,132.050003,132.119995,129.562866,20065500,IT
2/13/2017,133.080002,133.820007,132.75,133.289993,130.71019,23035400,IT
2/14/2017,133.470001,135.089996,133.25,135.020004,132.406754,33226200,IT
2/15/2017,135.520004,136.270004,134.619995,135.509995,132.887253,35623100,IT
2/16/2017,135.669998,135.899994,134.839996,135.350006,132.730377,22584600,IT
2/17/2017,135.100006,135.830002,135.100006,135.720001,133.093216,22198200,IT
2/21/2017,136.229996,136.75,135.979996,136.699997,134.054214,24507200,IT
2/22/2017,136.429993,137.119995,136.110001,137.110001,134.456299,20836900,IT
2/23/2017,137.380005,137.479996,136.300003,136.529999,133.887512,20788200,IT
2/24/2017,135.910004,136.660004,135.279999,136.660004,134.015015,21776600,IT
2/27/2017,137.139999,137.440002,136.279999,136.929993,134.279785,20257400,IT
2/28/2017,137.080002,137.440002,136.699997,136.990005,134.338623,23482900,IT
3/1/2017,137.889999,140.149994,137.600006,139.789993,137.084412,36414600,IT
3/2/2017,140,140.279999,138.759995,138.960007,136.270508,26211000,IT
3/3/2017,138.779999,139.830002,138.589996,139.779999,137.074615,21108100,IT
3/6/2017,139.369995,139.770004,138.600006,139.339996,136.643127,21750000,IT
3/7/2017,139.059998,139.979996,138.789993,139.520004,136.819656,17446300,IT
3/8/2017,138.949997,139.800003,138.820007,139,136.309723,18707200,IT
3/9/2017,138.740005,138.789993,137.050003,138.679993,135.995895,22155900,IT
3/10/2017,139.25,139.360001,138.639999,139.139999,136.447006,19612800,IT
3/13/2017,138.850006,139.429993,138.820007,139.199997,136.505829,17421700,IT
3/14/2017,139.300003,139.649994,138.839996,138.990005,136.299911,15309100,IT
3/15/2017,139.410004,140.75,139.029999,140.460007,137.74147,25691800,IT
3/16/2017,140.720001,141.020004,140.259995,140.690002,137.96698,19232000,IT
3/17/2017,141,141,139.889999,139.990005,137.280563,43885000,IT
3/20/2017,140.399994,141.5,140.229996,141.460007,138.722122,21542000,IT
3/21/2017,142.110001,142.800003,139.729996,139.839996,137.133453,39529900,IT
3/22/2017,139.850006,141.600006,139.759995,141.419998,138.682877,25860200,IT
3/23/2017,141.259995,141.580002,140.610001,140.919998,138.192551,20346300,IT
3/24/2017,141.5,141.740005,140.350006,140.639999,137.917984,22395600,IT
3/27/2017,139.389999,141.220001,138.619995,140.880005,138.153336,23575100,IT
3/28/2017,140.910004,144.039993,140.619995,143.800003,141.016815,33374800,IT
3/29/2017,143.679993,144.490005,143.190002,144.119995,141.330612,29190000,IT
3/30/2017,144.190002,144.5,143.5,143.929993,141.144287,21207300,IT
