Date,Open,High,Low,Close,Adj Close,Volume,Industry
9/30/2016,31800,32300,31700,31960,1631.046265,11762700,IT
10/4/2016,32200,32480,32120,32280,1647.376953,13053100,IT
10/5/2016,32020,32520,31940,32380,1652.480347,12470450,IT
10/6/2016,33920,34000,33340,33820,1725.96936,29558150,IT
10/7/2016,34000,34320,33800,34120,1741.279541,26050550,IT
10/10/2016,33000,33780,32560,33600,1714.741699,25293300,IT
10/11/2016,32000,32500,30900,30900,1576.950195,38427150,IT
10/12/2016,29900,30900,29880,30700,1566.743286,39088550,IT
10/13/2016,31000,31620,30900,31140,1589.198364,21864550,IT
10/14/2016,30960,31760,30940,31540,1609.611938,14158950,IT
10/17/2016,31300,32040,30760,31800,1622.880615,12785200,IT
10/18/2016,31440,31900,31440,31780,1621.860107,10384500,IT
10/19/2016,31580,32860,31500,32500,1658.604614,15444550,IT
10/20/2016,32520,33020,32180,32400,1653.501099,10330450,IT
10/21/2016,32120,32260,31760,31780,1621.860107,10477500,IT
10/24/2016,31860,32160,31800,32160,1641.25293,9289950,IT
10/25/2016,32000,32080,31840,31940,1630.025391,9866100,IT
10/26/2016,31940,31980,31240,31340,1599.405273,10534000,IT
10/27/2016,31420,32340,31120,31460,1605.529175,14117000,IT
10/28/2016,31600,32280,31600,32280,1647.376953,10214200,IT
10/31/2016,32320,32780,32220,32780,1672.894043,12067200,IT
11/1/2016,32600,33040,32240,33040,1686.16272,10347400,IT
11/2/2016,32800,33040,32620,32860,1676.976807,10099250,IT
11/3/2016,32600,32800,32120,32320,1649.418457,10341850,IT
11/4/2016,32100,32680,32100,32540,1660.645874,7103850,IT
11/7/2016,32940,33000,32680,32800,1673.914551,7661900,IT
11/8/2016,32980,32980,32700,32880,1677.997437,5417450,IT
11/9/2016,32920,33140,31820,31920,1629.004761,15683600,IT
11/10/2016,32600,33000,32360,32980,1683.10083,11795350,IT
11/11/2016,31700,32360,31700,31960,1631.046265,12836800,IT
11/14/2016,31900,31920,31040,31060,1585.115601,15133300,IT
11/15/2016,31060,31620,30780,30780,1570.82605,13665700,IT
11/16/2016,30800,31280,30800,31160,1590.219116,13308200,IT
11/17/2016,31100,31520,30900,31360,1600.425781,7870550,IT
11/18/2016,31640,31760,31400,31720,1618.797974,9460750,IT
11/21/2016,31300,32120,31300,31860,1625.942871,8180200,IT
11/22/2016,32140,32900,32000,32800,1673.914551,9751100,IT
11/23/2016,33220,33220,32520,32980,1683.10083,12668600,IT
11/24/2016,32980,33040,32660,33000,1684.12146,7757150,IT
11/25/2016,32820,33040,32660,33000,1684.12146,6276900,IT
11/28/2016,33000,33620,32800,33540,1711.679932,13294050,IT
11/29/2016,33800,33960,33380,33540,1711.679932,18081300,IT
11/30/2016,33540,34940,33540,34920,1782.106812,28535200,IT
12/1/2016,34800,35060,34660,34980,1785.168701,15535350,IT
12/2/2016,34480,34760,34140,34540,1762.713623,15352950,IT
12/5/2016,34340,34680,34220,34360,1753.527832,8484600,IT
12/6/2016,34440,35200,34400,34960,1784.148071,14001800,IT
12/7/2016,35040,35480,35040,35440,1808.644287,9603650,IT
12/8/2016,35980,36020,35520,35800,1827.016724,16462550,IT
12/9/2016,35900,35900,35400,35600,1816.809814,10652450,IT
12/12/2016,34660,35360,34660,35040,1788.230835,11414450,IT
12/13/2016,34620,35440,34620,35320,1802.520264,11684450,IT
12/14/2016,35560,35680,35280,35540,1813.747681,7455100,IT
12/15/2016,34820,35500,34820,35180,1795.375488,5773550,IT
12/16/2016,35300,36020,35200,35860,1830.078613,11747700,IT
12/19/2016,35620,36380,35620,35900,1832.119995,5435800,IT
12/20/2016,35920,36400,35840,36240,1849.471436,7615200,IT
12/21/2016,36360,36600,36020,36100,1842.326904,6552100,IT
12/22/2016,36260,36300,35980,36180,1846.409546,6354600,IT
12/23/2016,36020,36080,35600,35640,1818.851074,8334850,IT
12/26/2016,35600,36000,35560,35960,1835.182129,4823600,IT
12/27/2016,35980,36200,35860,35980,1836.202759,4653450,IT
12/28/2016,35840,35980,35600,35760,7743.232422,6662900,IT
12/29/2016,35420,36040,35400,36040,7803.861816,7516450,IT
1/2/2017,35980,36240,35880,36100,7816.854004,4650600,IT
1/3/2017,36280,36620,36020,36480,7899.136719,7357650,IT
